id,district,state,country
,Kupwara,1,1
,Baramula,1,1
,Srinagar,1,1
,Badgam,1,1
,Pulwama,1,1
,Anantnag,1,1
,Leh (Ladakh),1,1
,Kargil,1,1
,Doda,1,1
,Udhampur,1,1
,Punch,1,1
,Rajauri,1,1
,Jammu,1,1
,Kathua,1,1
,Chamba,2,1
,Kangra,2,1
,Lahul & Spiti,2,1
,Kullu,2,1
,Mandi,2,1
,Hamirpur,2,1
,Una,2,1
,Bilaspur,2,1
,Solan,2,1
,Sirmaur,2,1
,Shimla,2,1
,Kinnaur,2,1
,Gurdaspur,3,1
,Amritsar,3,1
,Kapurthala,3,1
,Jalandhar,3,1
,Hoshiarpur,3,1
,Nawanshahr *,3,1
,Rupnagar,3,1
,Fatehgarh Sahib *,3,1
,Ludhiana,3,1
,Moga *,3,1
,Firozpur,3,1
,Muktsar *,3,1
,Faridkot,3,1
,Bathinda,3,1
,Mansa *,3,1
,Sangrur,3,1
,Patiala,3,1
,Chandigarh,4,1
,Uttarkashi,5,1
,Chamoli,5,1
,Rudraprayag *,5,1
,Tehri Garhwal,5,1
,Dehradun,5,1
,Garhwal,5,1
,Pithoragarh,5,1
,Bageshwar,5,1
,Almora,5,1
,Champawat,5,1
,Nainital,5,1
,Udham Singh Nagar *,5,1
,Hardwar,5,1
,Panchkula *,6,1
,Ambala,6,1
,Yamunanagar,6,1
,Kurukshetra,6,1
,Kaithal,6,1
,Karnal,6,1
,Panipat,6,1
,Sonipat,6,1
,Jind,6,1
,Fatehabad *,6,1
,Sirsa,6,1
,Hisar,6,1
,Bhiwani,6,1
,Rohtak,6,1
,Jhajjar *,6,1
,Mahendragarh,6,1
,Rewari,6,1
,Gurgaon,6,1
,Faridabad,6,1
,North West   *,7,1
,North   *,7,1
,North East   *,7,1
,East   *,7,1
,New Delhi,7,1
,Central  *,7,1
,West   *,7,1
,South West   *,7,1
,South  *,7,1
,Ganganagar,8,1
,Hanumangarh *,8,1
,Bikaner,8,1
,Churu,8,1
,Jhunjhunun,8,1
,Alwar,8,1
,Bharatpur,8,1
,Dhaulpur,8,1
,Karauli *,8,1
,Sawai Madhopur,8,1
,Dausa *,8,1
,Jaipur,8,1
,Sikar,8,1
,Nagaur,8,1
,Jodhpur,8,1
,Jaisalmer,8,1
,Barmer,8,1
,Jalor,8,1
,Sirohi,8,1
,Pali,8,1
,Ajmer,8,1
,Tonk,8,1
,Bundi,8,1
,Bhilwara,8,1
,Rajsamand *,8,1
,Udaipur,8,1
,Dungarpur,8,1
,Banswara,8,1
,Chittaurgarh,8,1
,Kota,8,1
,Baran *,8,1
,Jhalawar,8,1
,Saharanpur,9,1
,Muzaffarnagar,9,1
,Bijnor,9,1
,Moradabad,9,1
,Rampur,9,1
,Jyotiba Phule Nagar *,9,1
,Meerut,9,1
,Baghpat *,9,1
,Ghaziabad,9,1
,Gautam Buddha Nagar *,9,1
,Bulandshahr,9,1
,Aligarh,9,1
,Hathras *,9,1
,Mathura,9,1
,Agra,9,1
,Firozabad,9,1
,Etah,9,1
,Mainpuri,9,1
,Budaun,9,1
,Bareilly,9,1
,Pilibhit,9,1
,Shahjahanpur,9,1
,Kheri,9,1
,Sitapur,9,1
,Hardoi,9,1
,Unnao,9,1
,Lucknow,9,1
,Rae Bareli,9,1
,Farrukhabad,9,1
,Kannauj *,9,1
,Etawah,9,1
,Auraiya *,9,1
,Kanpur Dehat,9,1
,Kanpur Nagar,9,1
,Jalaun ,9,1
,Jhansi,9,1
,Lalitpur,9,1
,Hamirpur,9,1
,Mahoba *,9,1
,Banda,9,1
,Chitrakoot *,9,1
,Fatehpur,9,1
,Pratapgarh,9,1
,Kaushambi *,9,1
,Allahabad ,9,1
,Barabanki,9,1
,Faizabad,9,1
,Ambedkar Nagar *,9,1
,Sultanpur,9,1
,Bahraich,9,1
,Shrawasti *,9,1
,Balrampur *,9,1
,Gonda,9,1
,Siddharthnagar,9,1
,Basti,9,1
,Sant Kabir Nagar *,9,1
,Maharajganj,9,1
,Gorakhpur,9,1
,Kushinagar *,9,1
,Deoria,9,1
,Azamgarh,9,1
,Mau,9,1
,Ballia,9,1
,Jaunpur,9,1
,Ghazipur,9,1
,Chandauli *,9,1
,Varanasi,9,1
,Sant Ravidas Nagar *,9,1
,Mirzapur,9,1
,Sonbhadra,9,1
,Pashchim Champaran,10,1
,Purba Champaran,10,1
,Sheohar *,10,1
,Sitamarhi,10,1
,Madhubani,10,1
,Supaul *,10,1
,Araria,10,1
,Kishanganj,10,1
,Purnia,10,1
,Katihar,10,1
,Madhepura,10,1
,Saharsa,10,1
,Darbhanga,10,1
,Muzaffarpur,10,1
,Gopalganj,10,1
,Siwan,10,1
,Saran,10,1
,Vaishali,10,1
,Samastipur,10,1
,Begusarai,10,1
,Khagaria,10,1
,Bhagalpur,10,1
,Banka *,10,1
,Munger,10,1
,Lakhisarai *,10,1
,Sheikhpura *,10,1
,Nalanda,10,1
,Patna,10,1
,Bhojpur,10,1
